name,surname,position,team
Etrit,Berisha,Goalkeeper,Albania
Orges,Shehi,Goalkeeper,Albania
Alban,Hoxha,Goalkeeper,Albania
Lorik,Cana,Defender,Albania
Mërgim,Mavraj,Defender,Albania
Elseid,Hysaj,Defender,Albania
Ansi,Agolli,Defender,Albania
Arlind,Ajeti,Defender,Albania
Naser,Aliji,Defender,Albania
Frédéric,Veseli,Defender,Albania
Taulant,Xhaka,Midfielder,Albania
Amir,Abrashi,Midfielder,Albania
Ledian,Memushaj,Midfielder,Albania
Migjen,Basha,Midfielder,Albania
Burim,Kukeli,Midfielder,Albania
Ergys,Kaçe,Midfielder,Albania
Andi,Lila,Midfielder,Albania
Ermir,Lenjani,Midfielder,Albania
Odise,Roshi,Midfielder,Albania
Shkëlzen,Gashi,Forward,Albania
Sokol,Çikalleshi,Forward,Albania
Bekim,Balaj,Forward,Albania
Armando,Sadiku,Forward,Albania
Robert,Almer,Goalkeeper,Austria
Ramazan,Özcan,Goalkeeper,Austria
Heinz,Lindner,Goalkeeper,Austria
Aleksandar,Dragović,Defender,Austria
Kevin,Wimmer,Defender,Austria
Martin,Hinteregger,Defender,Austria
Sebastian,Prödl,Defender,Austria
Florian,Klein,Defender,Austria
György,Garics,Defender,Austria
Christian,Fuchs,Defender,Austria
Markus,Suttner,Defender,Austria
Stefan,Ilsanker,Midfielder,Austria
Julian,Baumgartlinger,Midfielder,Austria
David,Alaba,Midfielder,Austria
Marko,Arnautovic,Midfielder,Austria
Martin,Harnik,Midfielder,Austria
Jakob,Jantscher,Midfielder,Austria
Marcel,Sabitzer,Forward,Austria
Zlatko,Junuzovic,Forward,Austria
Alessandro,Schöpf,Midfielder,Austria
Rubin,Okotie,Forward,Austria
Lukas,Hinterseer,Forward,Austria
Marc,Janko,Forward,Austria
Thibaut,Courtois,Goalkeeper,Belgium
Simon,Mignolet,Goalkeeper,Belgium
Jean-François,Gillet,Goalkeeper,Belgium
Toby,Alderweireld,Defender,Belgium
Thomas,Meunier,Defender,Belgium
Christian,Kabasele,Defender,Belgium
Laurent,Ciman,Defender,Belgium
Jason,Denayer,Defender,Belgium
Thomas,Vermaelen,Defender,Belgium
Jordan,Lukaku,Defender,Belgium
Jan,Vertonghen,Defender,Belgium
Axel,Witsel,Midfielder,Belgium
Radja,Nainggolan,Midfielder,Belgium
Marouane,Fellaini,Midfielder,Belgium
Moussa,Dembélé,Midfielder,Belgium
Kevin,De Bruyne,Midfielder,Belgium
Eden,Hazard,Midfielder,Belgium
Yannick,Ferreira-Carrasco,Midfielder,Belgium
Dries,Mertens,Midfielder,Belgium
Romelu,Lukaku,Forward,Belgium
Christian,Benteke,Forward,Belgium
Michy,Batshuayi,Forward,Belgium
Divock,Origi,Forward,Belgium
Danijel,Subašić,Goalkeeper,Croatia
Lovre,Kalinić,Goalkeeper,Croatia
Ivan,Vargić,Goalkeeper,Croatia
Darijo,Srna,Defender,Croatia
Šime,Vrsaljko,Defender,Croatia
Vedran,Ćorluka,Defender,Croatia
Domagoj,Vida,Defender,Croatia
Tin,Jedvaj,Defender,Croatia
Gordon,Schildenfeld,Defender,Croatia
Ivan,Strinić,Defender,Croatia
Luka,Modrić,Midfielder,Croatia
Ivan,Rakitić,Midfielder,Croatia
Marcelo,Brozović,Midfielder,Croatia
Mateo,Kovačić,Midfielder,Croatia
Milan,Badelj,Midfielder,Croatia
Ante,Ćorić,Midfielder,Croatia
Marko,Rog,Midfielder,Croatia
Marko,Pjaca,Forward,Croatia
Ivan,Perišić,Midfielder,Croatia
Mario,Mandžukić,Forward,Croatia
Nikola,Kalinić,Forward,Croatia
Andrej,Kramarić,Forward,Croatia
Duje,Čop,Forward,Croatia
Petr,Čech,Goalkeeper,Czech
Tomáš,Vaclík,Goalkeeper,Czech
Tomáš,Koubek,Goalkeeper,Czech
Roman,Hubník,Defender,Czech
David,Pavelka,Midfielder,Czech
Pavel,Kadeřábek,Defender,Czech
Theodor,Gebre Selassie,Defender,Czech
Tomáš,Sivok,Defender,Czech
Michal,Kadlec,Defender,Czech
Marek,Suchý,Defender,Czech
David,Limberský,Defender,Czech
Daniel,Pudil,Defender,Czech
Jiří,Skalák,Midfielder,Czech
Bořek,Dočkal,Midfielder,Czech
Ladislav,Krejčí,Midfielder,Czech
Vladimír,Darida,Midfielder,Czech
Tomáš,Rosický,Midfielder,Czech
Daniel,Kolář,Midfielder,Czech
Jaroslav,Plašil,Midfielder,Czech
Josef,Šural,Midfielder,Czech
Tomáš,Necid,Forward,Czech
Milan,Škoda,Forward,Czech
David,Lafata,Forward,Czech
Fraser,Forster,Goalkeeper,England
Joe,Hart,Goalkeeper,England
Tom,Heaton,Goalkeeper,England
Ryan,Bertrand,Defender,England
Gary,Cahill,Defender,England
Nathaniel,Clyne,Defender,England
Danny,Rose,Defender,England
Chris,Smalling,Defender,England
John,Stones,Defender,England
Kyle,Walker,Defender,England
Dele,Alli,Midfielder,England
Ross,Barkley,Midfielder,England
Eric,Dier,Midfielder,England
Jordan,Henderson,Midfielder,England
Adam,Lallana,Midfielder,England
James,Milner,Midfielder,England
Jack,Wilshere,Midfielder,England
Harry,Kane,Forward,England
Wayne,Rooney,Forward,England
Raheem,Sterling,Forward (winger),England
Daniel,Sturridge,Forward,England
Jamie,Vardy,Forward,England
Marcus,Rashford,Forward,England
Hugo,Lloris,Goalkeeper,France
Steve,Mandanda,Goalkeeper,France
Benoît,Costil,Goalkeeper,France
Bacary,Sagna,Defender,France
Christophe,Jallet,Defender,France
Laurent,Koscielny,Defender,France
Eliaquim,Mangala,Defender,France
Samuel,Umtiti,Defender,France
Patrice,Evra,Defender,France
Lucas,Digne,Defender,France
Paul,Pogba,Midfielder,France
Blaise,Matuidi,Midfielder,France
N'Golo,Kanté,Midfielder,France
Yohan,Cabaye,Midfielder,France
Moussa,Sissoko,Midfielder,France
Morgan,Schneiderlin,Midfielder,France
Dimitri,Payet,Midfielder,France
Kingsley,Coman ,Forward,France
Antoine,Griezmann,Forward,France
Anthony,Martial,Forward,France
Olivier,Giroud,Forward,France
André-Pierre,Gignac,Forward,France
Adil,Rami,Defender,France
Manuel,Neuer,Goalkeeper,German
Marc-André,ter Stegen,Goalkeeper,German
Bernd,Leno,Goalkeeper,German
Jérôme,Boateng,Defender,German
Mats,Hummels,Defender,German
Jonas,Hector,Defender,German
Shkodran,Mustafi,Defender,German
Antonio,Rüdiger ,Defender,German
Joshua,Kimmich,Defender,German
Benedikt,Höwedes,Defender,German
Emre,Can ,Midfielder,German
Bastian,Schweinsteiger,Midfielder,German
Sami,Khedira,Midfielder,German
Toni,Kroos,Midfielder,German
Mesut,Özil ,Midfielder,German
Julian,Draxler ,Midfielder,German
Julian,Weigl,Midfielder,German
Thomas,Müller,Forward,German
Leroy,Sané,Midfielder,German
Mario,Götze,Midfielder,German
Lukas,Podolski,Forward,German
André,Schürrle,Midfielder,German
Mario,Gomez,Forward,German
Gábor,Király,Goalkeeper,Hungary
Dénes,Dibusz,Goalkeeper,Hungary
Péter,Gulácsi,Goalkeeper,Hungary
Barnabás,Bese,Defender,Hungary
Attila,Fiola,Defender,Hungary
Richárd,Guzmics,Defender,Hungary
Tamás,Kádár,Defender,Hungary
Mihály,Korhut,Defender,Hungary
Roland,Juhász,Defender,Hungary
Ádám,Lang,Defender,Hungary
Balázs,Dzsudzsák,Forward,Hungary
Ákos,Elek,Midfielder,Hungary
Zoltán,Gera,Midfielder,Hungary
László,Kleinheisler,Midfielder,Hungary
Gergő,Lovrencsics,Midfielder,Hungary
Ádám,Nagy,Midfielder,Hungary
Ádám,Pintér,Midfielder,Hungary
Zoltán,Stieber,Midfielder,Hungary
Dániel,Böde,Forward,Hungary
Nemanja,Nikolic,Forward,Hungary
Krisztián,Németh,Forward,Hungary
Tamás,Priskin,Forward,Hungary
Ádám,Szalai,Forward,Hungary
Hannes,Thór Halldórsson,Goalkeeper,Iceland
Ögmundur,Kristinsson,Goalkeeper,Iceland
Ingvar,Jónsson,Goalkeeper,Iceland
Birkir,Már Sævarsson,Defender,Iceland
Haukur,Heiðar Hauksson,Defender,Iceland
Hjörtur,Hermannsson,Defender,Iceland
Sverrir,Ingi Ingason,Defender,Iceland
Ragnar,Sigurdsson,Defender,Iceland
Kári,Árnason,Defender,Iceland
Hördur,Björgvin Magnússon,Defender,Iceland
Ari,Freyr Skúlason,Defender,Iceland
Jóhann,Berg Guðmundsson,Midfielder,Iceland
Birkir,Bjarnason,Midfielder,Iceland
Gylfi,Sigurdsson,Midfielder,Iceland
Rúnar,Már Sigurjónsson,Midfielder,Iceland
Aron,Gunnarsson,Midfielder,Iceland
Theódór,Elmar Bjarnason,Midfielder,Iceland
Emil,Hallfredsson,Midfielder,Iceland
Arnór,Ingvi Traustason,Midfielder,Iceland
Kolbeinn,Sigthórsson,Forward,Iceland
Alfred,Finnbogason,Forward,Iceland
Jón,Dadi Bödvarsson,Forward,Iceland
Eidur,Gudjohnsen,Forward,Iceland
Aiden,McGeady,Midfielder,Ireland
Ciaran,Clark,Defender,Ireland
Cyrus,Christie,Defender,Ireland
Darren,Randolph,Goalkeeper,Ireland
Daryl,Murphy,Forward,Ireland
David,Meyler,Midfielder,Ireland
Glenn,Whelan,Midfielder,Ireland
James,McCarthy,Midfielder,Ireland
James,McClean,Midfielder,Ireland
Jeff,Hendrick,Midfielder,Ireland
John,O'Shea,Defender,Ireland
Jon,Walters,Forward,Ireland
Richard,Keogh,Defender,Ireland
Robbie,Brady,Defender,Ireland
Robbie,Keane,Forward,Ireland
Seamus,Coleman,Defender,Ireland
Shane,Long,Forward,Ireland
Shay,Given,Goalkeeper,Ireland
Stephen,Quinn,Midfielder,Ireland
Stephen,Ward,Defender,Ireland
Wes,Hoolahan,Midfielder,Ireland
Keiren,Westwood,Goalkeeper,Ireland
Shane,Duffy,Defender,Ireland
Gianluigi,Buffon,Goalkeeper,Italy
Salvatore,Sirigu,Goalkeeper,Italy
Federico,Marchetti,Goalkeeper,Italy
Matteo,Darmian,Defender,Italy
Mattia,De Sciglio,Defender,Italy
Angelo,Ogbonna,Defender,Italy
Andrea,Barzagli,Defender,Italy
Giorgio,Chiellini,Defender,Italy
Leonardo,Bonucci,Defender,Italy
Thiago,Motta,Midfielder,Italy
Marco,Parolo,Midfielder,Italy
Daniele,De Rossi,Midfielder,Italy
Stefano,Sturaro,Midfielder,Italy
Emanuele,Giaccherini,Midfielder,Italy
Federico,Bernardeschi,Midfielder,Italy
Antonio,Candreva,Forward,Italy
Alessandro,Florenzi,Midfielder,Italy
Stephan,El Shaarawy,Forward,Italy
Lorenzo,Insigne,Forward,Italy
Ciro,Immobile,Forward,Italy
Simone,Zaza,Forward,Italy
,Éder,Forward,Italy
Graziano,Pellè,Forward,Italy
Michael,McGovern,Goalkeeper,Northern
Roy,Carroll,Goalkeeper,Northern
Alan,Mannus,Goalkeeper,Northern
Gareth,McAuley,Defender,Northern
Jonny,Evans,Defender,Northern
Craig,Cathcart,Defender,Northern
Conor,McLaughlin,Defender,Northern
Luke,McCullough,Defender,Northern
Shane,Ferguson,Defender,Northern
Lee,Hodson,Defender,Northern
Oliver,Norwood,Midfielder,Northern
Aaron,Hughes,Defender,Northern
Steven,Davis,Midfielder,Northern
Chris,Baird,Defender,Northern
Stuart,Dallas,Midfielder,Northern
Paddy,McNair,Midfielder,Northern
Niall,McGinn,Midfielder,Northern
Corry,Evans,Midfielder,Northern
Kyle,Lafferty,Forward,Northern
Jamie,Ward,Forward,Northern
Conor,Washington,Forward,Northern
Josh,Magennis,Forward,Northern
Will,Grigg,Forward,Northern
Lukasz,Fabianski,Goalkeeper,Poland
Wojciech,Szczesny,Goalkeeper,Poland
Artur,Boruc,Goalkeeper,Poland
Thiago,Cionek,Defender,Poland
Lukasz,Piszczek,Defender,Poland
Kamil,Glik,Defender,Poland
Michal,Pazdan,Defender,Poland
Bartosz,Salamon,Defender,Poland
Jakub,Wawrzyniak,Defender,Poland
Artur,Jedrzejczyk,Defender,Poland
Krzysztof,Maczynski,Midfielder,Poland
Piotr,Zielinski,Midfielder,Poland
Grzegorz,Krychowiak,Midfielder,Poland
Jakub,Blaszczykowski,Midfielder,Poland
Bartosz,Kapustka,Midfielder,Poland
Karol,Linetty,Midfielder,Poland
Tomasz,Jodlowiec,Midfielder,Poland
Filip,Starzynski,Midfielder,Poland
Slawomir,Peszko,Midfielder,Poland
Arkadiusz,Milik,Forward,Poland
Robert,Lewandowski,Forward,Poland
Kamil,Grosicki,Forward,Poland
Mariusz,Stepinski,Forward,Poland
Rui,Patricio ,Goalkeeper,Portugal
Anthony,Lopes,Goalkeeper,Portugal
,Eduardo,Goalkeeper,Portugal
Cédric,Soares,Defender,Portugal
José,Fonte,Defender,Portugal
,Eliseu,Defender,Portugal
Raphaël,Guerreiro,Defender,Portugal
Bruno,Alves,Defender,Portugal
Ricardo,Carvalho,Defender,Portugal
,Pepe,Defender,Portugal
Adrien,Silva,Midfielder,Portugal
William,Carvalho,Midfielder,Portugal
,Vieirinha,Defender,Portugal
Danilo,Pereira,Midfielder,Portugal
Renato,Sanches,Midfielder,Portugal
Rafa,Silva,Midfielder,Portugal
João,Moutinho,Midfielder,Portugal
João,Mário,Midfielder,Portugal
André,Gomes,Midfielder,Portugal
,Nani,Forward,Portugal
Ricardo,Quaresma,Forward,Portugal
Cristiano,Ronaldo,Forward,Portugal
,Éder,Forward,Portugal
Ciprian,Tătărușanu,Goalkeeper,Romania
Costel,Pantilimon,Goalkeeper,Romania
Silviu,Lung,Goalkeeper,Romania
Cristian,Săpunaru,Defender,Romania
Alexandru,Mățel,Defender,Romania
Vlad,Chiricheș,Defender,Romania
Dragoș,Grigore,Defender,Romania
Valerică,Găman,Defender,Romania
Cosmin,Moți,Defender,Romania
Steliano,Filip,Defender,Romania
Răzvan,Raț,Defender,Romania
Mihai,Pintilii,Midfielder,Romania
Ovidiu,Hoban,Midfielder,Romania
Adrian,Popa,Midfielder,Romania
Gabriel,Torje,Midfielder,Romania
Lucian,Sânmărtean,Midfielder,Romania
Nicolae,Stanciu,Midfielder,Romania
Claudiu,Keșeru,Forward,Romania
Florin,Andone,Forward,Romania
Bogdan,Stancu,Forward,Romania
Denis,Alibec,Forward,Romania
Alexandru,Chipciu,Midfielder,Romania
Andrei,Prepeliţă,Midfielder,Romania
Igor,Akinfeev,Goalkeeper,Russia
,Guilherme,Goalkeeper,Russia
Yuri,Lodygin,Goalkeeper,Russia
Igor,Smolnikov,Defender,Russia
Sergei,Ignashevich,Defender,Russia
Aleksei,Berezutski,Defender,Russia
Roman,Shishkin,Defender,Russia
Georgi,Schennikov,Defender,Russia
Vasili,Berezutski,Defender,Russia
Dmitri,Kombarov,Defender,Russia
Dmitri,Torbinsky,Defender,Russia
Roman,Neustädter,Defender,Russia
Igor,Denisov,Midfielder,Russia
Oleg,Ivanov,Midfielder,Russia
Roman,Shirokov,Midfielder,Russia
Pavel,Mamaev,Midfielder,Russia
Alexander,Samedov,Midfielder,Russia
Denis,Glushakov,Midfielder,Russia
Oleg,Shatov,Midfielder,Russia
Alexander,Golovin,Midfielder,Russia
Aleksandr,Kokorin,Forward,Russia
Artyom,Dzyuba,Forward,Russia
Fyodor,Smolov,Forward,Russia
Ján,Mucha,Goalkeeper,Slovakia
Matúš,Kozáčik,Goalkeeper,Slovakia
Ján,Novota,Goalkeeper,Slovakia
Martin,Škrtel,Defender,Slovakia
Ján,Ďurica,Defender,Slovakia
Tomáš,Hubočan,Defender,Slovakia
Kornel,Saláta,Defender,Slovakia
Dušan,Švento,Defender,Slovakia
Nórbert,Gyömbér,Defender,Slovakia
Peter,Pekarík,Defender,Slovakia
Marek,Hamšík,Midfielder,Slovakia
Stanislav,Šesták,Midfielder,Slovakia
Juraj,Kucka,Midfielder,Slovakia
Viktor,Pečovský,Midfielder,Slovakia
Miroslav,Stoch,Midfielder,Slovakia
Vladimír,Weiss,Midfielder,Slovakia
Róbert,Mak,Midfielder,Slovakia
Ondrej,Duda,Midfielder,Slovakia
Patrik,Hrošovský,Midfielder,Slovakia
Ján,Greguš,Midfielder,Slovakia
Adam,Nemec,Forward,Slovakia
Michal,Ďuriš,Forward,Slovakia
Milan,Škriniar,Defender,Slovakia
Iker,Casillas,Goalkeeper,Spain
David,de Gea,Goalkeeper,Spain
Sergio,Rico,Goalkeeper,Spain
Marc,Bartra,Defender,Spain
Jordi,Alba,Defender,Spain
César,Azpilicueta,Defender,Spain
,Juanfran,Defender,Spain
Gerard,Piqué,Defender,Spain
Sergio,Ramos,Defender,Spain
Sergio,Busquets,Midfielder,Spain
Cesc,Fàbregas,Midfielder,Spain
Bruno,Soriano,Midfielder,Spain
Andrés,Iniesta,Midfielder,Spain
Mikel,San José,Midfielder,Spain
Lucas,Vázquez,Midfielder,Spain
,Koke,Midfielder,Spain
David,Silva,Midfielder,Spain
Thiago,Alcântara,Midfielder,Spain
,Pedro,Forward,Spain
Aritz,Aduriz,Forward,Spain
,Nolito,Forward,Spain
Álvaro,Morata,Forward,Spain
Héctor,Bellerín,Defender,Spain
Robin,Olsen,Goalkeeper,Sweden
Andreas,Isaksson,Goalkeeper,Sweden
Patrik,Carlgren,Goalkeeper,Sweden
Victor,Nilsson Lindelöf,Defender,Sweden
Mikael,Lustig,Defender,Sweden
Pontus,Jansson,Defender,Sweden
Erik,Johansson,Defender,Sweden
Andreas,Granqvist,Defender,Sweden
Ludwig,Augustinsson,Defender,Sweden
Martin,Olsson,Defender,Sweden
Albin,Ekdal,Midfielder,Sweden
Oscar,Hiljemark,Midfielder,Sweden
Erkan,Zengin,Midfielder,Sweden
Jimmy,Durmaz,Midfielder,Sweden
Emil,Forsberg,Midfielder,Sweden
Sebastian,Larsson,Midfielder,Sweden
Kim,Källström,Midfielder,Sweden
Pontus,Wernbloom,Midfielder,Sweden
Oscar,Lewicki,Midfielder,Sweden
Marcus,Berg,Forward,Sweden
John,Guidetti,Forward,Sweden
Emir,Kujovic,Forward,Sweden
Zlatan,Ibrahimovic ,Forward,Sweden
Roman,Bürki,Goalkeeper,Swiss
Yann,Sommer,Goalkeeper,Swiss
Marwin,Hitz,Goalkeeper,Swiss
Stephan,Lichtsteiner,Defender,Swiss
Michael,Lang,Defender,Swiss
Ricardo,Rodríguez,Defender,Swiss
Jacques,François Moubandje,Defender,Swiss
Johan,Djourou,Defender,Swiss
Fabian,Schär,Defender,Swiss
Steve,von Bergen,Defender,Swiss
Nico,Elvedi,Defender,Swiss
Valon,Behrami,Midfielder,Swiss
Granit,Xhaka,Midfielder,Swiss
Blerim,Dzemaili,Midfielder,Swiss
Gélson,Fernandes,Midfielder,Swiss
Fabian,Frei,Midfielder,Swiss
Denis,Zakaria,Midfielder,Swiss
Xherdan,Shaqiri,Midfielder,Swiss
Admir,Mehmedi,Midfielder,Swiss
Shani,Tarashaj,Midfielder,Swiss
Haris,Seferović,Forward,Swiss
Breel,Embolo,Forward,Swiss
Eren,Derdiyok,Forward,Swiss
Volkan,Babacan,Goalkeeper,Turkey
Onur,Kivrak,Goalkeeper,Turkey
Harun,Tekin,Goalkeeper,Turkey
Gökhan,Gönül,Defender,Turkey
Şener,Özbayraklı,Defender,Turkey
Hakan,Kadir Balta,Defender,Turkey
Ahmet,Çalık,Defender,Turkey
Mehmet,Topal,Defender,Turkey
Caner,Erkin,Defender,Turkey
İsmail,Köybaşı,Defender,Turkey
Semih,Kaya,Defender,Turkey
Ozan,Tufan,Midfielder,Turkey
Selçuk,İnan,Midfielder,Turkey
Oğuzhan,Özyakup,Midfielder,Turkey
Nuri,Şahin,Midfielder,Turkey
Hakan,Çalhanoğlu,Midfielder,Turkey
Arda,Turan,Midfielder,Turkey
Volkan,Şen,Midfielder,Turkey
Olcay,Şahan,Midfielder,Turkey
Emre,Mor,Midfielder,Turkey
Burak,Yılmaz,Forward,Turkey
Cenk,Tosun,Forward,Turkey
Yunus,Mallı,Forward,Turkey
Andriy,Pyatov,Goalkeeper,Ukraine
Denys,Boyko,Goalkeeper,Ukraine
Mykyta,Shevchenko,Goalkeeper,Ukraine
Vyacheslav,Shevchuk,Defender,Ukraine
Oleksandr,Kucher,Defender,Ukraine
Yevhen,Khacheridi,Defender,Ukraine
Yaroslav,Rakitskyi,Defender,Ukraine
Artem,Fedetskyi,Defender,Ukraine
Yevhen,Konoplyanka,Midfielder,Ukraine
Anatoliy,Tymoshchuk,Midfielder,Ukraine
Ruslan,Rotan,Midfielder,Ukraine
Andriy,Yarmolenko,Forward,Ukraine
Taras,Stepanenko,Midfielder,Ukraine
Denys,Harmash,Midfielder,Ukraine
Serhiy,Sydorchuk,Midfielder,Ukraine
Viktor,Kovalenko,Midfielder,Ukraine
Oleksandr,Karavayev,Midfielder,Ukraine
Serhiy,Rybalka,Midfielder,Ukraine
Oleksandr,Zinchenko,Midfielder,Ukraine
Roman,Zozulya,Forward,Ukraine
Pylyp,Budkivskyi,Forward,Ukraine
Yevhen,Seleznyov,Forward,Ukraine
Bohdan,Butko,Defender,Ukraine
Wayne,Hennessey,Goalkeeper,Wales
Danny,Ward,Goalkeeper,Wales
Owain-Fon,Williams,Goalkeeper,Wales
Ashley,"""Jazz"" Richards",Defender,Wales
Ben,Davies,Defender,Wales
Chris,Gunter,Defender,Wales
James,Collins,Defender,Wales
James,Chester,Defender,Wales
Ashley,Williams,Defender,Wales
Neil,Taylor,Defender,Wales
Joe,Allen,Midfielder,Wales
David,Edwards,Midfielder,Wales
Joe,Ledley,Midfielder,Wales
Aaron,Ramsey,Midfielder,Wales
David,Vaughan,Midfielder,Wales
Jonathan,Williams,Midfielder,Wales
Andy,King,Midfielder,Wales
Hal,Robson-Kanu,Forward,Wales
David,Cotterill,Forward,Wales
Simon,Church,Forward,Wales
Gareth,Bale,Forward,Wales
George,Williams,Midfielder,Wales
Sam,Vokes,Forward,Wales
Gianni,De Biasi ,Coach,Albania
Didier,Deschamps,Coach,France
Anghel,Iordanescu,Coach,Romania
Vladimir,Petkovic,Coach,Switzerland
Roy,Hodgson,Coach,England
Leonid,Slutsky,Coach,Russia
Jan,Kozak,Coach,Slovakia
Chris,Coleman,Coach,Wales
Joachim,Löw,Coach,Germany
Michael,O'Neill,Coach,Northern Ireland
Adam,Nawalka,Coach,Poland
Mykhaylo,Fomenko,Coach,Ukraine
Ante,Cacic,Coach,Croatia
Pavel,Vrba,Coach,Czech Republic
Vicente,del Bosque,Coach,Spain
Fatih,Terim,Coach,Turkey
Marc,Wilmots,Coach,Belgium
Antonio,Conte,Coach,Italy
Martin,O'Neill,Coach,Republic of Ireland
Erik,Hamren,Coach,Sweden
Marcel,Koller,Coach,Austria
Bernd,Storck,Coach,Hungary
Lars,Lagerbäck,Coach,Iceland
Fernando,Santos,Coach,Portugal
